;;;;;REF HLDP;REF LF;DÇtails;Comparatifs;;;;;;;;;;;;;;;;;DÇtails;;;;;;;;;DÇtails;;;;;;;DÇtails;;;;FOURNISSEURS;;;;;;;;;;;;;;;;Grossistes;;;1,08;;Client ->;Chaånes;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP FixÇ";PV LF Orange bleue _;"RÇduction /  PV LF OR BL";Produit spÇcifique;Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";Marge HLDP;PV FOB $;PV FOB _;"PV HLDP $ DDP";"PV HLDP _ DDP";"PV HLDP _ DDP fixÇ";PV Public _;PV Public $;RÇduction / PV Public;PV LF Revendeur _;PV LF Revendeur $;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW561;;Coussin Repose-Tàte;;;0,0083;0,60;;piäce;;Coussin Repose-Tàte;;;;NBR;;25cm;5cm;30cm;;;480pcs;;RêêDUCATION;;;BALANCE PAD;unit;;NBR;;"The balance pad is designed for proprioception exercises to improve balance, coordination and stability of the joints while strengthening deep areas of the body. Very appreciated by therapists in rehabilitation and sportsman wishing to improve their performance.";REHABILITATION;BALANCE PAD;;3 ply brown box;;;;REEDUCATION/FITNESS;$1,57;$1,62;;$1,52;;;;;;;;;;;$2,79;;;;;TOP ASIA;PC;$1,52;$1,82;13%;$1,75;1,62 _;$2,10;1,94 _;;;;;13%;$1,75;1,62 _;$2,10;1,94 _;64%;$4,22;3,91 _;$5,07;4,69 _;4,50 _;4,61 _;59%;$3,71;3,43 _;$4,45;4,12 _;8,80 _;59%;$2,96;2,74 _;$3,95;3,65 _;8,80 _;23%;$17,00;15,74 _;$6,58;6,09 _;30,65 _;32,28 _;$34,86;94%;19,37 _;$20,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RFW561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFA365;;Cylindre HÇrisson;;;;;;piäce;;Cylindre HÇrisson;;;;PVC;ok;;;15cm;;õ6cm;300pcs;Polybag;RêêDUCATION;Rouleau de massage hÇrisson. Les picots permettent un travail de stimulation sur la zone travaillÇe.;http://i.imgur.com/YbIhp8U.jpg;GRIP CYLINDER;unit;Polybag;PVC;;Grip Cylinder. The dots allow a good stimulation on the target area.;REHABILITATION;GRIP CYLINDER;;Polybag;;;;REEDUCATION/FITNESS;$1,49;;$1,55;;$1,43;;;;;;;;;;$1,32;$0,41;;;2,70 _;AZUNI;PC;$1,29;$1,55;13%;$1,48;1,37 _;$1,78;1,65 _;;;;;13%;$1,48;1,37 _;$1,78;1,65 _;39%;$2,12;1,96 _;$2,54;2,36 _;1,96 _;3,27 _;40%;$2,15;1,99 _;$2,58;2,39 _;3,27 _;40%;$3,71;3,43 _;$2,29;2,12 _;3,27 _;23%;$8,53;7,90 _;$3,30;3,06 _;7,07 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,96;;;;;;;;;;;;;;;;;;;;;RFA365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;STC594;3629;;;;;13,70;13,50;piäce;;Dalle Caoutchouc 1X1M X 15Mm;;;13,5 Kgs;Caoutchouc;ok;100cm;1,5cm;100cm;;;500m2;;CROSSFIT;Plaque de revàtement de sol pour l'absorption d'impact, en grains de gomme Ö haute densitÇ. RÇsistant Ö l'usure.;http://www.leaderfit-equipement.com/images/eboutique/liste20150323095849.jpg;RUBBER TILE  1X1M X 15MM;unit;;Rubber;;Flooring rubber tile for impact absorption, high density rubber particles. Wear resistant.;CROSSFIT;RUBBER TILE  1X1M X 15MM;;;;;;MUSCULATION;;;;;;;;;;;;;;;;;;;;CSP;PC;$11,60;$13,92;13%;$13,33;12,35 _;$16,00;14,81 _;;22,07 _;33%;;13%;$13,33;12,35 _;$16,00;14,81 _;50%;$23,40;21,67 _;$28,08;26,00 _;24,92 _;23,59 _;33%;$17,31;16,03 _;$20,78;19,24 _;23,59 _;33%;$40,40;37,41 _;$18,43;17,06 _;23,59 _;23%;$94,22;87,24 _;$36,47;33,77 _;46,32 _;40,12 _;$43,33;63%;22,07 _;$23,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STC594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI295;3630;Dalle En Rouleau;;;;101,25;100,00;;3760223792492;Dalle En Rouleau;DALLE EN ROULEAU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$213,00;;$213,00;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFA369;;Demi Sphäre Pictos;;;;;;paire;;Demi Sphäre Pictos;;;;PVC;ok;;;;;õ18cm;360pcs;Polybag;RêêDUCATION;Demi-sphäre Ö picots utilisÇs pour la stimuation plantaire et le travail de l'Çquilibre.;http://i.imgur.com/sfWOmsE.jpg;FOOT MASSAGE BALL;pair;Polybag;PVC;;Foot massage half-ball used for plantar stimuation and work balance.;REHABILITATION;FOOT MASSAGE BALL;;Color box;;;;REEDUCATION/FITNESS;$2,52;$1,28;;$1,86;$4,43;;;$1,34;;$1,60;;$4,63;;$1,50;;$1,22;;;5,00 _;WOHLSTAND;PR;$2,56;$3,07;13%;$2,94;2,72 _;$3,53;3,27 _;;;;;13%;$2,94;2,72 _;$3,53;3,27 _;42%;$4,39;4,06 _;$5,27;4,88 _;4,06 _;6,49 _;40%;$4,27;3,95 _;$5,12;4,74 _;6,49 _;40%;$7,36;6,81 _;$4,54;4,20 _;6,49 _;23%;$17,67;16,36 _;$6,84;6,33 _;14,02 _;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,06;;;;;;;;;;;;;;;;;;;;;RFA369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;RFW636;1979;Disques Bumper 2,5Kg;;;;2,60;2,50;;3760223793994;;DISQUES BUMPER 2,5KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;RFW636;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI299;1995;Disque Bumper Reebok 5Kg;;;;;;;;;DISQUE BUMPER REEBOK 5KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;CRI299;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI300;1996;Disque Bumper Reebok 10Kg;;;;;;;;;DISQUE BUMPER REEBOK 10KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;CRI300;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI301;1997;Disque Bumper Reebok 15Kg;;;;;;;;;DISQUE BUMPER REEBOK 15KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;CRI301;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI302;1998;Disque Bumper Reebok 20Kg;;;;;;;;;DISQUE BUMPER REEBOK 20KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;CRI302;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI303;1999;Disque Bumper Reebok 25Kg;;;;;;;;;DISQUE BUMPER REEBOK 25KG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40%;;;;;;;;;13%;;;;;40%;#REF!;#REF!;#REF!;#REF!;#REF!;;40%;;;;;;40%;;;;;;23%;#REF!;#REF!;#REF!;#REF!;;15,89 _;$17,16;100%;9,53 _;$10,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-8;-7;-6;-5;-4;-3;-2;-1;;1;2;3;4;5;6;7;8;9;10;CRI303;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
;;;;;CRI143;3489;Disques Bumper 5Kg Noir;;;0,0077;5,23;5,00;piäce;3760223792591;Disques Bumper Crossfit 5Kg Noir;DISQUES BUMPER 5KG NOIR;;5 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol. Anneau en mÇtal au centre.;http://www.leaderfit-equipement.com/images/eboutique/20150122153628.jpg;BUMPER PLATE 5KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 5KGS;;Polybag;;;;CROSSFIT;$19,74;;$30,90;$18,75;;$10,30;$46,75;;$10,81;;;$9,70;$11,00;$10,00;$24,40;$10,80;17,55 _;;;TOP ASIA;PC;$10,75;$12,90;13%;$12,36;11,44 _;$14,83;13,73 _;;53,48 _;74%;;13%;$12,36;11,44 _;$14,83;13,73 _;45%;$19,55;18,10 _;$23,45;21,72 _;20,81 _;27,26 _;40%;$17,92;16,59 _;$21,50;19,91 _;27,26 _;40%;$30,89;28,60 _;$19,07;17,66 _;27,26 _;23%;$78,69;72,86 _;$30,46;28,20 _;46,25 _;71,30 _;$77,00;81%;53,48 _;$57,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI144;3485;Disques Bumper 10Kg Vert;;;0,0091;10,50;10,00;piäce;3760223792553;Disques Bumper Crossfit 10Kg Vert;DISQUES BUMPER 10KG VERT;;10 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol. Anneau en mÇtal au centre.;http://www.leaderfit-equipement.com/images/eboutique/20150122153645.jpg;BUMPER PLATE 10KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 10KGS;;Polybag;;;;CROSSFIT;$24,90;;$45,70;$35,60;;$20,60;$9,35;;$21,62;;;$19,40;$22,00;$20,00;$39,29;$21,60;35,10 _;;;TOP ASIA;PC;$35,60;$42,72;13%;$40,92;37,89 _;$49,10;45,47 _;;101,55 _;55%;;13%;$40,92;37,89 _;$49,10;45,47 _;45%;$64,73;59,93 _;$77,67;71,92 _;68,92 _;90,28 _;40%;$59,33;54,94 _;$71,20;65,93 _;90,28 _;40%;$102,30;94,72 _;$63,15;58,47 _;90,28 _;23%;$260,58;241,27 _;$100,87;93,40 _;153,18 _;135,40 _;$146,23;66%;101,55 _;$109,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI145;3486;Disques Bumper 15Kg Jaune;;;0,0218;16,00;15,00;piäce;3760223792560;Disques Bumper Crossfit 15Kg Jaune;DISQUES BUMPER 15KG JAUNE;;15 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol. Anneau en mÇtal au centre.;http://www.leaderfit-equipement.com/images/eboutique/20150122153702.jpg;BUMPER PLATE 15KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 15KGS;;Polybag;;;;CROSSFIT;$35,79;;$59,00;$47,40;;$30,90;$18,70;;$32,43;;;$29,10;$33,00;$30,00;$58,57;$32,40;52,65 _;;;TOP ASIA;PC;$47,40;$56,88;13%;$54,48;50,45 _;$65,38;60,54 _;;135,21 _;55%;;13%;$54,48;50,45 _;$65,38;60,54 _;45%;$86,18;79,80 _;$103,42;95,76 _;91,77 _;120,20 _;40%;$79,00;73,15 _;$94,80;87,78 _;120,20 _;40%;$136,21;126,12 _;$84,08;77,85 _;120,20 _;23%;$346,95;321,25 _;$134,31;124,36 _;203,95 _;180,28 _;$194,70;66%;135,21 _;$146,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI146;3487;Disques Bumper 20Kg Bleu;;;0,0221;21,00;20,00;piäce;3760223792577;Disques Bumper Crossfit 20Kg Bleu;DISQUES BUMPER 20KG BLEU;;20 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol. Anneau en mÇtal au centre.;http://www.leaderfit-equipement.com/images/eboutique/20150122153722.jpg;BUMPER PLATE 20KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 20KGS;;Polybag;;;;CROSSFIT;$47,14;;$71,50;$63,20;;$41,20;$28,05;;$43,24;;;$38,80;$44,00;$40,00;$77,38;$43,20;70,20 _;;;TOP ASIA;PC;$63,20;$75,84;13%;$72,64;67,26 _;$87,17;80,72 _;;180,68 _;55%;;13%;$72,64;67,26 _;$87,17;80,72 _;45%;$114,91;106,40 _;$137,89;127,68 _;122,36 _;160,27 _;40%;$105,33;97,53 _;$126,40;117,04 _;160,27 _;40%;$181,61;168,16 _;$112,10;103,80 _;160,27 _;23%;$462,60;428,33 _;$179,08;165,81 _;271,94 _;240,90 _;$260,17;66%;180,68 _;$195,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI147;3488;Disques Bumper 25Kg Rouge;;;0,0250;26,25;25,00;piäce;3760223792584;Disques Bumper Crossfit 25Kg Rouge;DISQUES BUMPER 25KG ROUGE;;25 Kgs;Caoutchouc;ok;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol. Anneau en mÇtal au centre.;http://www.leaderfit-equipement.com/images/eboutique/20150122153742.jpg;BUMPER PLATE 25KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 25KGS;;Polybag;;;;CROSSFIT;$58,34;;$82,90;$79,00;;$51,50;$37,40;;$54,05;;;$48,50;$55,00;$50,00;$95,24;$54,00;87,75 _;;;TOP ASIA;PC;$79,00;$94,80;13%;$90,80;84,08 _;$108,97;100,89 _;;225,39 _;55%;;13%;$90,80;84,08 _;$108,97;100,89 _;45%;$143,64;133,00 _;$172,36;159,60 _;152,95 _;200,33 _;40%;$131,67;121,91 _;$158,00;146,30 _;200,33 _;40%;$227,01;210,20 _;$140,13;129,75 _;200,33 _;23%;$578,25;535,41 _;$223,85;207,27 _;339,92 _;300,52 _;$324,56;66%;225,39 _;$243,42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI269;;Disques Bumper Crossfit 5Kg Avec Petit Anneau MÇtal;;;0,0077;5,23;;piäce;;Disques Bumper Crossfit 5Kg Avec Petit Anneau MÇtal;;;5 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol.;http://i.imgur.com/czwfew2.jpg;BUMPER PLATE 5KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 5KGS;;;;;;;$11,72;$8,75;$16,00;$10,40;;;;;;;;;;;;;;11,48 _;;WOHLSTAND;PC;$8,75;$10,50;13%;$10,06;9,31 _;$12,07;11,17 _;;;;;13%;$10,06;9,31 _;$12,07;11,17 _;40%;$14,58;13,50 _;$17,50;16,20 _;15,53 _;22,19 _;40%;$14,58;13,50 _;$17,50;16,20 _;22,19 _;40%;$25,14;23,28 _;$15,52;14,37 _;22,19 _;23%;$58,71;54,36 _;$22,73;21,04 _;39,02 _;71,30 _;$77,00;84%;53,48 _;$57,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI270;;Disques Bumper Crossfit 10Kg B;;;0,0091;10,50;;piäce;;Disques Bumper Crossfit 10Kg B;;;10 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol.;http://i.imgur.com/czwfew2.jpg;BUMPER PLATE 10KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 10KGS;;;;;;;$20,37;$17,50;$22,80;$20,80;;;;;;;;;;;;;;20,83 _;;WOHLSTAND;PC;$17,50;$21,00;13%;$20,11;18,62 _;$24,14;22,35 _;;;;;13%;$20,11;18,62 _;$24,14;22,35 _;40%;$29,17;27,01 _;$35,00;32,41 _;31,06 _;44,38 _;40%;$29,17;27,01 _;$35,00;32,41 _;44,38 _;40%;$50,29;46,56 _;$31,04;28,74 _;44,38 _;23%;$117,42;108,72 _;$45,45;42,09 _;78,04 _;135,40 _;$146,23;83%;101,55 _;$109,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;CRI271;;Disques Bumper Crossfit 15Kg B;;;0,0218;16,00;;piäce;;Disques Bumper Crossfit 15Kg B;;;15 Kgs;Caoutchouc;Pending;;;;;;100pcs;Polybag;CROSSFIT;Disques de compÇtition rÇsistants aux chocs. Amorti lors du lancÇ au sol.;http://i.imgur.com/czwfew2.jpg;BUMPER PLATE 15KGS;unit;Polybag;Rubber;;"Competition discs; shock-resistant. Drop shot during the launched on the ground.";CROSSFIT;BUMPER PLATE 15KGS;;;;;;;$28,32;$26,25;$27,50;$31,20;;;;;;;;;;;;;;25,53 _;;WOHLSTAND;PC;$26,25;$31,50;13%;$30,17;27,94 _;$36,21;33,52 _;;;;;13%;$30,17;27,94 _;$36,21;33,52 _;40%;$43,75;40,51 _;$52,50;48,61 _;46,59 _;66,57 _;40%;$43,75;40,51 _;$52,50;48,61 _;66,57 _;40%;$75,43;69,84 _;$46,56;43,11 _;66,57 _;23%;$176,13;163,08 _;$68,18;63,13 _;117,06 _;180,28 _;$194,70;81%;135,21 _;$146,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CRI271;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
